Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
Footloose,Kenny Loggins,174,"album rock, classic rock, heartland rock, mellow gold, new wave pop, singer-songwriter, soft rock, yacht rock","Rock, Pop, Folk/Acoustic",55,90,8,0,49,0,0,-7,Happy
Wake Me Up Before You Go-Go,Wham!,82,"new romantic, new wave pop, soft rock","Rock, Pop",62,57,27,0,90,0,0,-12,Happy
Mamma Mia,ABBA,138,"europop, swedish pop",Pop,75,75,30,0,83,0,40,-7,Happy
I'm So Excited,The Pointer Sisters,184,"disco, girl group, hi-nrg, motown, new wave pop, soft rock","R&B, Pop, Rock",59,87,10,0,80,0,40,-6,Happy
Summer Nights - From â€œGreaseâ€,"John Travolta,Olivia Newton-John",124,"hollywood, adult standards, australian dance, disco, mellow gold, soft rock","Easy listening, Electronic, R&B, Rock",75,66,62,0,61,0,0,-9,Happy
Walking On Sunshine,Katrina & The Waves,110,new wave pop,Pop,60,87,1,17,94,0,0,-12,Happy
Total Eclipse of the Heart,Bonnie Tyler,130,"europop, new wave pop, soft rock","Pop, Rock",43,72,14,0,19,0,30,-6,Happy
Time After Time,Cyndi Lauper,130,"dance pop, new wave pop, permanent wave, soft rock","Pop, Rock",73,45,49,0,29,0,0,-9,Happy
Uptown Girl,Billy Joel,129,"album rock, classic rock, heartland rock, mellow gold, piano rock, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic",70,94,8,0,79,0,60,-3,Happy
We Built This City,Starship,144,"album rock, classic rock, mellow gold, new romantic, new wave pop, soft rock, synthpop","Rock, Pop",66,91,5,0,66,0,0,-5,Happy
Livin' On A Prayer,Bon Jovi,123,"glam metal, rock","Metal, Rock",53,89,8,0,80,0,20,-4,Happy
Under Pressure - Remastered 2011,"Queen,David Bowie",114,"classic rock, glam rock, rock, art rock, permanent wave",Rock,67,71,43,0,46,0,10,-8,Happy
Like a Prayer,Madonna,111,"dance pop, pop",Pop,62,84,26,0,26,0,10,-5,Happy
Material Girl,Madonna,137,"dance pop, pop",Pop,74,88,33,0,98,0,10,-3,Happy
Summer Of '69,Bryan Adams,139,"canadian pop, canadian singer-songwriter, classic canadian rock, heartland rock, mellow gold, soft rock","Pop, Folk/Acoustic, Rock",51,83,2,0,77,0,0,-6,Happy
Redbone,Childish Gambino,160,"atl hip hop, hip hop, rap",Hip Hop,75,35,17,1,60,10,10,-11,Happy
How Do You Heal a Broken Heart,Chris Walker,100,,,60,39,63,0,23,0,10,-10,Happy
Valentine,"Jim Brickman,Martina McBride",95,"new age, new age piano, contemporary country, country, country dawn, country road","Country, New age",52,26,84,0,18,0,10,-13,Happy
What You Won't Do for Love,Bobby Caldwell,84,yacht rock,Rock,64,40,46,0,80,0,10,-17,Happy
There She Goes,The La's,123,britpop,Pop,53,76,1,83,92,0,20,-11,Happy
Always Be My Baby - Austin Millz Remix,"Mariah Carey,Austin Millz",77,"dance pop, pop, urban contemporary,","Pop, Hip Hop",76,78,14,0,70,30,80,-2,Sad
Peaches X Whats Luv,ELJEE,94,,,77,84,1,9,71,0,20,-9,Sad
Kiss Me More (feat. Naomi Watanabe),"Doja Cat,æ¸¡è¾ºç›´ç¾Ž",111,"dance pop, pop, geinin song",Pop,78,69,39,0,75,0,10,-4,Sad
We Belong Together,Mariah Carey,140,"dance pop, pop, urban contemporary","Pop, Hip Hop",84,48,3,0,77,0,0,-8,Sad
Stickwitu,The Pussycat Dolls,80,"dance pop, girl group, pop",Pop,55,55,28,0,38,0,0,-6,Sad
Always Be My Baby,Mariah Carey,79,"dance pop, pop, urban contemporary","Pop, Hip Hop",65,53,46,0,49,0,20,-8,Sad
My Boo,"USHER,Alicia Keys",86,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary, neo soul","Hip Hop, R&B, Pop",66,51,26,0,68,10,0,-8,Sad
Go On Girl,Ne-Yo,84,"dance pop, pop, r&b, urban contemporary","Pop, R&B, Hip Hop",64,52,16,0,56,10,0,-7,Sad
Dilemma,"Nelly,Kelly Rowland",168,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary, atl hip hop, hip pop, r&b","Hip Hop, Pop, R&B",73,55,23,0,61,10,20,-8,Sad
Say My Name,Destiny's Child,138,"dance pop, girl group, pop, r&b, urban contemporary","Pop, R&B, Hip Hop",71,68,27,0,73,10,10,-4,Sad
Bartender (feat. Akon),"T-Pain,Akon",105,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary","Pop, Hip Hop, R&B",83,39,6,0,44,0,20,-9,Sad
Burn,USHER,120,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary","Hip Hop, R&B, Pop",80,48,31,0,69,10,10,-7,Sad
Incomplete,Sisqo,119,"contemporary r&b, dirty south rap, hip pop, r&b, urban contemporary","R&B, Hip Hop, Pop",75,44,28,0,27,0,10,-8,Sad
Irreplaceable,BeyoncÃ©,176,"pop, r&b","Pop, R&B",58,70,3,0,50,30,10,-4,Sad
All I Have (feat. LL Cool J),"Jennifer Lopez,LL COOL J",83,"dance pop, pop, urban contemporary, east coast hip hop, golden age hip hop, hip hop, old school hip hop, queens hip hop, rap","Pop, Hip Hop",70,67,27,0,45,10,10,-5,Sad
With You,Chris Brown,86,"r&b, rap","R&B, Hip Hop",66,69,13,0,66,0,10,-4,Sad
Coastline,Hollow Coves,100,"indie anthem-folk, indie folk, modern indie folk",Folk/Acoustic,67,50,63,0,43,0,0,-11,Sad
Peaches - Justin Bieber - Remix,Trinix Remix,95,,,73,61,27,0,56,10,10,-10,Sad
I Ain't Worried,OneRepublic,140,"piano rock, pop","Rock, Pop",70,80,8,0,83,0,0,-6,Sad
Fuck You,CeeLo Green,127,"atl hip hop, pop rap",Hip Hop,69,88,19,0,75,0,10,-4,Sad
Rover (feat. DTG),"S1mba,DTG",63,afroswing,World/Traditional,61,62,50,0,80,20,20,-7,Sad
Because Of You,Ne-Yo,110,"dance pop, pop, r&b, urban contemporary","Pop, R&B, Hip Hop",81,54,53,0,83,0,10,-6,Sad
Let Me Love You,Mario,95,"dance pop, r&b, southern hip hop, urban contemporary","Pop, R&B, Hip Hop",69,59,18,0,62,0,10,-8,Sad
No One,Alicia Keys,90,"neo soul, pop, r&b","R&B, Pop",64,55,3,0,15,0,10,-5,Sad
If I Ain't Got You,Alicia Keys,118,"neo soul, pop, r&b","R&B, Pop",61,44,60,0,17,10,10,-9,Sad
Me & U,Cassie,100,"dance pop, hip pop, pop rap, r&b, urban contemporary","Pop, Hip Hop, R&B",80,45,35,0,74,0,0,-5,Sad
Slow Motion,Trey Songz,95,"dance pop, r&b, southern hip hop, trap, urban contemporary","Pop, R&B, Hip Hop",73,41,68,0,29,0,10,-8,Sad
Back At One,Brian McKnight,130,"contemporary r&b, quiet storm, r&b, urban contemporary","R&B, Hip Hop",66,35,45,0,26,0,10,-9,Sad
Kiss Kiss (feat. T-Pain),"Chris Brown,T-Pain",140,"r&b, rap, dance pop, gangster rap, hip hop, pop rap, southern hip hop, trap, urban contemporary","Pop, Hip Hop, R&B",73,66,5,0,55,20,0,-3,Sad
How Do You Heal a Broken Heart,Chris Walker,100,,,60,39,63,0,23,0,10,-10,Sad
Hot,Liili,120,,,98,31,49,0,75,10,10,-9,Sad
Always Remember Us This Way,Lady Gaga,130,"art pop, dance pop, pop",Pop,55,50,30,0,30,0,70,-6,Sad
What You Won't Do for Love,Bobby Caldwell,84,yacht rock,Rock,64,40,46,0,80,0,10,-17,Sad
End of Beginning,Djo,160,"pov: indie, psychedelic pop",Pop,69,45,4,0,91,0,0,-8,Sad
Unwritten,Natasha Bedingfield,100,"dance pop, pop, post-teen pop",Pop,71,80,1,0,63,0,0,-6,Sad
Put Your Records On,Corinne Bailey Rae,96,"british soul, neo soul, pop soul, soul",R&B,74,51,17,0,54,0,10,-8,Sad
Made For Me,Muni Long,120,"indie r&b, pop r&b",R&B,79,47,14,0,6,0,10,-6,Sad
There She Goes,The La's,123,britpop,Pop,53,76,1,83,92,0,20,-11,Sad
Tingin,"Cup of Joe,Janine",105,"opm, pinoy city pop, pinoy singer-songwriter",Pop,62,77,21,0,47,0,10,-6,Angry
Saan?,Maki,120,,,60,79,19,0,70,0,10,-4,Angry
Kisame,rhodessa,100,,,58,31,95,6,20,0,20,-10,Angry
Umaasa,Calein,96,pinoy city pop,Pop,63,43,30,39,35,0,30,-10,Angry
Beer,The Itchyworms,85,opm,Pop,54,69,51,0,46,0,10,-4,Angry
Ang Huling El Bimbo,Eraserheads,89,"opm, pinoy reggae",Pop,52,50,18,0,44,0,20,-12,Angry
Pwede Ba,Lola Amour,79,opm,Pop,67,33,61,0,25,0,10,-8,Angry
Yakap,Zack Tabudlo,114,"acoustic opm, opm, p-pop",Pop,74,39,41,0,55,0,10,-8,Angry
711,TONEEJAY,180,,,38,72,14,0,34,0,10,-5,Angry
Palagi,TJ Monterde,108,"cdo indie, opm, pinoy singer-songwriter",Pop,48,17,88,0,35,0,10,-14,Angry
Walang Kapalit (AM VER.),Arthur Miguel,120,opm,Pop,62,21,87,0,29,0,10,-11,Angry
Heaven Knows - This Angel Has Flown,Orange & Lemons,93,opm,Pop,58,51,27,0,46,0,10,-8,Angry
Gusto feat. Al James,"Zack Tabudlo,Al James",84,"acoustic opm, opm, p-pop, pinoy alternative rap, pinoy hip hop, pinoy r&b, pinoy trap","Pop, Hip Hop, R&B",61,70,4,0,20,0,0,-5,Angry
Yakap sa Dilim,Orange & Lemons,114,opm,Pop,65,72,10,0,59,0,10,-3,Angry
Araw-Araw,Ben&Ben,141,opm,Pop,48,42,58,0,22,0,20,-8,Angry
Paraluman,Adie,90,opm,Pop,51,25,77,0,11,0,10,-14,Angry
Uhaw (Tayong Lahat),Dilaw,136,opm,Pop,64,72,28,0,32,0,10,-7,Angry
Sa Susunod na Habang Buhay,Ben&Ben,177,opm,Pop,31,34,43,0,27,0,10,-9,Angry
Ikaw Pa Rin Ang Pipiliin Ko,Cup of Joe,174,"opm, pinoy city pop",Pop,47,56,12,0,35,0,10,-7,Angry
Maging Sino Ka Man,REY VALERA,142,"classic opm, manila sound, opm","World/Traditional, Pop",40,48,8,0,16,0,20,-10,Angry
LUV DRUG,"gins&melodies,Eros Tongco",110,"pinoy hip hop, tagalog rap,",Hip Hop,69,52,50,0,10,0,20,-11,Angry
Stay - On the Wings of Love Teleserye Theme,Daryl Ong,92,opm,Pop,56,28,84,0,31,0,10,-9,Angry
TAKE ALL THE LOVE,Arthur Nery,82,"cdo indie, opm, p-pop",Pop,49,49,28,0,26,0,10,-7,Angry
