Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,119,"dance pop, pop",Pop,71,82,21,0,87,0,0,-9,Happy
Footloose,Kenny Loggins,174,"album rock, classic rock, heartland rock, mellow gold, new wave pop, singer-songwriter, soft rock, yacht rock","Rock, Pop, Folk/Acoustic",55,90,8,0,49,0,0,-7,Happy
Dancing Queen,ABBA,101,"europop, swedish pop",Pop,54,87,36,0,75,0,70,-7,Happy
Crazy Little Thing Called Love - Remastered 2011,Queen,77,"classic rock, glam rock, rock",Rock,60,76,71,0,71,0,30,-7,Happy
I'm A Believer,Smash Mouth,82,"pop rock, post-grunge","Rock, Metal",55,98,2,0,87,0,40,-4,Happy
Come and Get Your Love - Single Version,Redbone,107,"native american contemporary, native american traditional",World/Traditional,73,80,17,0,96,0,0,-8,Happy
I Melt with You,Modern English,156,"new romantic, new wave, new wave pop, synthpop","Rock, Pop",54,80,0,0,67,0,0,-12,Happy
Next To You (feat. Justin Bieber),"Chris Brown,Justin Bieber",115,"r&b, rap, canadian pop, pop","Pop, R&B, Hip Hop",67,68,2,0,35,0,10,-5,Happy
Mamma Mia,ABBA,138,"europop, swedish pop",Pop,75,75,30,0,83,0,40,-7,Happy
Hooked On A Feeling,"Blue Swede,Björn Skifs",118,classic swedish pop,Pop,55,82,26,0,93,0,30,-7,Happy
"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley,Jennifer Warnes",109,"soft rock,",Rock,70,67,4,1,49,0,0,-13,Happy
Waterloo,ABBA,148,"europop, swedish pop",Pop,45,95,40,0,65,0,0,-5,Happy
I'm Coming Out,Diana Ross,110,"adult standards, disco, motown, quiet storm, soft rock, soul","Easy listening, R&B, Rock",72,83,19,43,77,0,0,-9,Happy
Fantasy,Mariah Carey,102,"dance pop, pop, urban contemporary","Pop, Hip Hop",67,73,14,0,81,0,10,-8,Happy
pov,Ariana Grande,132,pop,Pop,49,53,36,0,17,0,10,-6,Happy
lowkey,NIKI,118,indonesian r&b,R&B,75,49,43,0,23,0,0,-8,Happy
THAT'S MY BABY,PLAYERTWO,122,,,81,67,50,0,96,0,30,-6,Happy
Tingin,"Cup of Joe,Janine",105,"opm, pinoy city pop, pinoy singer-songwriter",Pop,62,77,21,0,47,0,10,-6,Happy
Off My Face,Justin Bieber,91,"canadian pop, pop",Pop,51,23,92,0,59,0,10,-9,Happy
Daylight,Taylor Swift,150,pop,Pop,56,50,81,0,27,0,0,-10,Happy
Viva La Vida,Coldplay,138,"permanent wave, pop","Rock, Pop",49,62,10,0,42,0,10,-7,Happy
Golden,Harry Styles,140,pop,Pop,45,84,21,0,25,0,10,-5,Happy
Higher Power,Coldplay,178,"permanent wave, pop","Rock, Pop",51,83,1,0,49,0,20,-6,Happy
Kiss Me More (feat. SZA),"Doja Cat,SZA",111,"dance pop, pop, r&b, rap","Pop, R&B, Hip Hop",76,70,24,0,74,0,10,-4,Happy
A Sky Full of Stars,Coldplay,125,"permanent wave, pop","Rock, Pop",55,68,1,0,16,0,20,-6,Happy
I'm In Love With You,The 1975,119,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",67,90,17,0,91,0,20,-4,Happy
My Universe,"Coldplay,BTS",105,"permanent wave, pop, k-pop, k-pop boy group","Pop, Rock",57,71,1,0,47,0,30,-6,Happy
About You,The 1975,96,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",42,76,31,80,46,0,0,-7,Happy
18,One Direction,124,"boy band, pop, post-teen pop, talent show",Pop,68,58,22,0,22,0,10,-8,Happy
XO,Beyoncé,170,"pop, r&b","Pop, R&B",47,79,16,0,22,20,30,-9,Happy
I Like Me Better,Lauv,92,pop,Pop,75,51,53,0,42,20,10,-8,Happy
Little Things,One Direction,110,"boy band, pop, post-teen pop, talent show",Pop,71,22,81,0,53,0,10,-12,Happy
Christmas Tree,V,139,"j-division, korean ost",Pop,44,38,70,0,18,0,10,-8,Happy
Anyone,Justin Bieber,116,"canadian pop, pop",Pop,69,52,19,0,58,0,10,-8,Happy
Love Somebody,Maroon 5,120,pop,Pop,68,78,13,0,40,0,10,-6,Happy
Superhero,Lauv,130,pop,Pop,68,34,82,0,42,0,20,-9,Sad
Falling,Harry Styles,110,pop,Pop,57,27,84,0,6,0,0,-7,Sad
Almost Is Never Enough,"Ariana Grande,Nathan Sykes",81,"pop, post-teen pop, talent show, teen pop",Pop,32,33,83,0,33,0,10,-7,Sad
She's The One,Robbie Williams,167,"dance rock, europop","Rock, Pop",24,61,66,0,33,0,20,-8,Sad
Yellow,Coldplay,173,"permanent wave, pop","Rock, Pop",43,66,0,0,28,0,20,-7,Sad
Fix You,Coldplay,138,"permanent wave, pop","Rock, Pop",21,42,16,0,12,0,10,-9,Sad
You're Beautiful,James Blunt,82,neo mellow,Folk/Acoustic,68,48,63,0,45,0,0,-10,Sad
Sweet Creature,Harry Styles,104,pop,Pop,43,26,75,0,23,0,0,-9,Sad
You & I,One Direction,131,"boy band, pop, post-teen pop, talent show",Pop,57,33,22,0,36,0,10,-7,Sad
Sign of the Times,Harry Styles,120,pop,Pop,52,60,3,0,22,0,10,-5,Sad
Happiness,Rex Orange County,105,bedroom pop,Pop,40,24,73,0,20,0,10,-10,Sad
SLOW DANCING IN THE DARK,Joji,89,viral pop,Pop,52,48,54,1,28,0,10,-7,Sad
"Flightless Bird, American Mouth",Iron & Wine,155,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler","Pop, Folk/Acoustic, Rock",37,40,83,5,18,0,10,-8,Sad
Cold,"Aqualung,Lucy Schwartz",105,"piano rock, southampton indie, acoustic pop","Pop, Rock",26,13,98,1,8,0,10,-14,Sad
Iris,The Goo Goo Dolls,156,"neo mellow, permanent wave, pop rock, post-grunge","Folk/Acoustic, Rock, Metal",32,72,0,0,50,0,0,-8,Sad
Kalawakan,juan karlos,120,opm,Pop,62,40,31,0,60,0,20,-8,Sad
Paubaya,Moira Dela Torre,127,opm,Pop,37,25,77,0,17,0,0,-12,Sad
Breakeven,The Script,94,"celtic rock, pop","Rock, Pop",63,70,14,0,49,0,0,-5,Sad
Muli,Ace Banzuelo,144,"opm, p-pop, pinoy r&b","Pop, R&B",48,88,1,0,28,0,10,-4,Sad
Someday,Nina,133,opm,Pop,56,21,94,0,51,0,10,-11,Sad
Pasensya Ka Na,Silent Sanctuary,84,opm,Pop,70,26,51,0,28,0,0,-15,Sad
"Umaaraw, Umuulan",Rivermaya,135,opm,Pop,56,86,2,0,60,0,30,-5,Sad
You'll Be Safe Here,Rico Blanco,75,"opm, pinoy rock","Pop, Rock",51,54,9,0,46,0,10,-10,Sad
Lose You To Love Me,Selena Gomez,103,"pop, post-teen pop",Pop,49,34,56,0,10,0,20,-9,Sad
When I Was Your Man,Bruno Mars,73,"dance pop, pop",Pop,61,28,93,0,39,0,0,-9,Sad
Somewhere Only We Know,Keane,172,"neo mellow, piano rock, pop rock","Folk/Acoustic, Rock",45,67,6,0,30,0,0,-4,Sad
Be My Mistake,The 1975,110,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",57,16,84,0,9,0,0,-14,Sad
Heather,Conan Gray,102,"bedroom pop, pop, pov: indie",Pop,36,43,58,0,27,0,30,-7,Sad
Cry,Cigarettes After Sex,143,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",41,40,76,68,16,0,10,-10,Sad
Apocalypse,Cigarettes After Sex,94,"ambient pop, dream pop, el paso indie, shoegaze","Pop, Country, Rock",37,47,2,57,18,0,10,-9,Sad
The Day You Said Goodnight,Hale,134,"opm, pinoy reggae",Pop,56,56,51,0,24,0,10,-7,Sad
Robbers,The 1975,100,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",62,69,0,0,38,0,30,-7,Sad
Fallingforyou,The 1975,85,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",26,28,89,0,8,0,30,-15,Sad
Sparks,Coldplay,103,"permanent wave, pop","Rock, Pop",37,27,75,5,17,0,10,-11,Sad
Let You Break My Heart Again,"Laufey,Philharmonia Orchestra",77,"gen z singer-songwriter, british orchestra, orchestra",Classical,30,14,97,11,12,0,10,-15,Sad
Superhero,Lauv,130,pop,Pop,68,34,82,0,42,0,20,-9,Angry
Robbers,The 1975,100,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop",62,69,0,0,38,0,30,-7,Angry
You’re Losing Me (From The Vault),Taylor Swift,103,pop,Pop,75,39,53,0,20,0,10,-14,Angry
Save Your Tears,The Weeknd,118,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",68,83,2,0,64,0,50,-5,Angry
Ride,Twenty One Pilots,75,"modern rock, pop, pov: indie, rock","Rock, Pop",65,71,1,0,57,0,10,-5,Angry
Stressed Out,Twenty One Pilots,170,"modern rock, pop, pov: indie, rock","Rock, Pop",73,64,5,0,65,10,0,-6,Angry
Tear in My Heart,Twenty One Pilots,120,"modern rock, pop, pov: indie, rock","Rock, Pop",66,63,2,0,45,0,0,-5,Angry
Pompeii,Bastille,127,"metropopolis, modern rock, pop","Electronic, Rock, Pop",68,72,8,0,57,0,20,-6,Angry
Demons,Imagine Dragons,90,"modern rock, pop, rock","Rock, Pop",51,71,19,0,43,0,20,-3,Angry
Radioactive,Imagine Dragons,136,"modern rock, pop, rock","Rock, Pop",45,78,11,0,24,0,60,-4,Angry
Animal,Neon Trees,148,"modern rock, neo mellow, pop rock, pov: indie","Rock, Folk/Acoustic, Pop",48,83,0,0,74,0,30,-6,Angry
Bad Things (with Camila Cabello),"mgk,Camila Cabello",138,"ohio hip hop, pop rap, dance pop, pop","Pop, Hip Hop",70,69,21,0,31,10,10,-5,Angry
Love Runs Out,OneRepublic,120,"piano rock, pop","Rock, Pop",72,93,17,0,74,0,0,-4,Angry
Everybody Wants To Rule The World,Tears For Fears,112,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop","Rock, Pop",65,80,35,0,54,0,10,-12,Angry
Only Angel,Harry Styles,114,pop,Pop,55,84,29,0,35,0,10,-4,Angry
Kiwi,Harry Styles,147,pop,Pop,38,93,0,0,49,0,30,-3,Angry
Arabella,Arctic Monkeys,180,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,58,56,2,0,51,0,20,-7,Angry
Ain't It Fun,Paramore,104,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock","Pop, Rock",61,89,15,0,67,0,0,-4,Angry
Still into You,Paramore,136,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock","Pop, Rock",60,92,1,0,77,0,0,-4,Angry
Partition,Beyoncé,176,"pop, r&b","Pop, R&B",42,44,3,7,17,20,30,-12,Angry
Formation,Beyoncé,122,"pop, r&b","Pop, R&B",90,62,1,0,82,20,20,-7,Angry
bloody valentine,mgk,160,"ohio hip hop, pop rap",Hip Hop,53,86,0,0,51,0,10,-4,Angry
Bitch Better Have My Money,Rihanna,103,"barbadian pop, pop, urban contemporary","Pop, Hip Hop",78,73,5,0,40,0,20,-5,Angry
Sk8er Boi,Avril Lavigne,150,"canadian pop, candy pop, dance pop, pop",Pop,49,90,0,0,48,0,30,-4,Angry
I Kissed A Girl,Katy Perry,130,pop,Pop,70,76,0,0,70,0,10,-3,Angry
Youngblood,5 Seconds of Summer,120,"boy band, pop",Pop,60,85,2,0,15,40,10,-5,Angry
Kill Bill,SZA,89,"pop, r&b, rap","Pop, R&B, Hip Hop",64,73,5,17,43,0,10,-6,Angry
Teenage Dirtbag,Wheatus,95,pop rock,Rock,63,85,35,0,63,0,10,-4,Angry
Colors,Halsey,100,"electropop, etherpop, indie poptimism, pop",Pop,51,81,5,0,52,0,0,-5,Angry
Without Me,Halsey,136,"electropop, etherpop, indie poptimism, pop",Pop,75,49,30,0,53,0,0,-7,Angry
Tomboy,Destiny Rogers,78,,,64,65,42,1,46,0,10,-5,Angry
Jealous,Nick Jonas,93,"dance pop, pop",Pop,70,70,1,0,38,10,40,-4,Angry
How You Like That,BLACKPINK,130,"k-pop, k-pop girl group, pop",Pop,81,79,5,0,33,0,0,-4,Angry
Typa Girl,BLACKPINK,132,"k-pop, k-pop girl group, pop",Pop,92,59,6,0,52,0,60,-8,Angry
Lovesick Girls,BLACKPINK,128,"k-pop, k-pop girl group, pop",Pop,66,73,1,0,41,0,10,-5,Angry
