Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
The Most Beautiful Thing,Bruno Major,127,singer-songwriter pop,Pop,81,36,54,5,42,0,10,-10,Happy
Sunflower,Rex Orange County,130,bedroom pop,Pop,55,77,65,0,57,0,50,-4,Happy
Me & You ◑,"HONNE,Tom Misch",120,"uk pop, indie soul, jazz pop","R&B, Pop",77,55,65,0,60,0,0,-8,Happy
Dive,Ed Sheeran,135,"pop, singer-songwriter pop, uk pop",Pop,76,39,36,0,53,0,10,-6,Happy
THE SHADE,Rex Orange County,120,bedroom pop,Pop,90,51,39,0,73,0,0,-8,Happy
Always,Daniel Caesar,136,canadian contemporary r&b,R&B,60,44,69,0,17,0,10,-8,Happy
Next To You (feat. Justin Bieber),"Chris Brown,Justin Bieber",115,"r&b, rap, canadian pop, pop","Pop, R&B, Hip Hop",67,68,2,0,35,0,10,-5,Happy
SOLO,JENNIE,95,k-pop,Pop,85,55,6,0,52,10,10,-7,Happy
Ditto,NewJeans,134,"k-pop, k-pop girl group",Pop,81,64,3,0,18,10,10,-6,Happy
OMG,NewJeans,127,"k-pop, k-pop girl group",Pop,80,77,36,0,74,0,10,-4,Happy
Hype Boy,NewJeans,100,"k-pop, k-pop girl group",Pop,59,94,27,0,78,20,20,-3,Happy
Cookie (FRNK Remix),NewJeans,80,"k-pop, k-pop girl group",Pop,83,47,55,0,78,0,10,-7,Happy
Attention,NewJeans,105,"k-pop, k-pop girl group",Pop,81,65,24,0,70,0,0,-4,Happy
BOOMBAYAH,BLACKPINK,125,"k-pop, k-pop girl group, pop",Pop,66,84,0,0,40,0,50,-3,Happy
Super Shy,NewJeans,150,"k-pop, k-pop girl group",Pop,78,82,18,0,52,0,10,-6,Happy
Bad Habits,Ed Sheeran,126,"pop, singer-songwriter pop, uk pop",Pop,81,89,5,0,54,0,30,-4,Happy
Galway Girl,Ed Sheeran,100,"pop, singer-songwriter pop, uk pop",Pop,62,88,7,0,78,10,30,-3,Happy
POP!,NAYEON,97,k-pop,Pop,80,86,4,0,36,0,0,-3,Happy
I Like Me Better,Lauv,92,pop,Pop,75,51,53,0,42,20,10,-8,Happy
San Francisco Street,Sun Rai,111,,,88,54,22,13,51,0,0,-9,Happy
Nonsense,Sabrina Carpenter,139,pop,Pop,74,70,3,0,73,0,20,-5,Happy
Titig,"MC Einstein,Flow G,Jekkpot,Yuridope",79,"pinoy hip hop, tagalog rap, pinoy r&b","Hip Hop, R&B",80,45,15,0,65,20,0,-8,Happy
Lemonade,"Jeremy Passion,Melissa Polinar,Gabe Bondoc",122,"chill r&b, pop soul",R&B,52,20,73,0,56,0,10,-12,Happy
Nothing,Jeremy Passion,80,"chill r&b, pop soul",R&B,59,24,56,0,26,0,10,-12,Happy
That's What I Like,Bruno Mars,134,"dance pop, pop",Pop,85,56,1,0,86,0,0,-5,Happy
24K Magic,Bruno Mars,107,"dance pop, pop",Pop,82,80,3,0,63,0,10,-4,Happy
Chunky,Bruno Mars,202,"dance pop, pop",Pop,57,54,2,0,73,10,10,-4,Happy
Finesse - Remix; feat. Cardi B,"Bruno Mars,Cardi B",105,"dance pop, pop, rap","Pop, Hip Hop",70,86,2,0,93,10,0,-5,Happy
