Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
Mixed Nuts,OFFICIAL HIGE DANDISM,150,"anime, anime rock, j-pop","Pop, Rock",54,92,1,0,78,0,20,-5,Happy
"So Alright, Cool, Whatever",The Happy Fits,130,"modern folk rock, new jersey indie, pov: indie","Rock, Pop",69,64,10,0,76,0,0,-5,Happy
CHRONICALLY CAUTIOUS,Braden Bales,140,singer-songwriter pop,Pop,70,58,26,0,87,10,10,-4,Happy
Against the Kitchen Floor,Will Wood,120,"pov: indie, weirdcore",Pop,65,78,42,0,61,0,10,-4,Happy
From the Start,Good Kid,93,,,57,80,2,0,64,0,0,-4,Happy
Tell Me You Know,Good Kid,96,,,58,92,0,0,88,0,10,-3,Happy
Why Not Me,"Forrest.,Biskwiq",146,lo-fi rap,Hip Hop,91,72,48,0,70,30,50,-7,Happy
Teenage Dirtbag,Wheatus,95,pop rock,Rock,62,85,34,0,61,0,10,-4,Happy
Fell In Love With a Girl,The White Stripes,96,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock","Rock, Blues",36,98,71,0,30,10,90,-2,Happy
Cherry Wine,grentperez,105,bedroom r&b,R&B,74,56,34,0,58,0,0,-7,Happy
Loretta,Ginger Root,130,"hypnagogic pop, oc indie","Pop, R&B",71,80,28,59,89,0,10,-6,Happy
Grandpop's Uke,"Forrest.,Biskwiq",130,lo-fi rap,Hip Hop,92,64,28,0,60,40,30,-5,Happy
Your Soul,"Forrest.,Biskwiq",140,lo-fi rap,Hip Hop,85,85,2,0,82,30,10,-4,Happy
Mr. Brightside,The Killers,148,"alternative rock, dance rock, modern rock, permanent wave, rock",Rock,35,91,0,0,24,0,10,-5,Happy
All The Small Things,blink-182,149,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk","Metal, Rock, Pop",43,90,1,0,68,0,60,-5,Happy
Sk8er Boi,Avril Lavigne,150,"canadian pop, candy pop, dance pop, pop",Pop,49,90,0,0,48,0,30,-4,Happy
Complicated,Avril Lavigne,78,"canadian pop, candy pop, dance pop, pop",Pop,59,78,6,0,43,0,30,-6,Happy
Mimi's Delivery Service,Good Kid,102,,,49,99,0,0,87,0,20,-4,Happy
Your New Boyfriend,Wilbur Soot,105,"pixel, pov: indie",Pop,55,45,38,0,74,10,10,-13,Happy
Pretty Dirty (In the Fading Light),Ripe,91,boston indie,Rock,68,47,66,0,64,0,0,-8,Happy
Sugar,Unusual Demont,135,"indie r&b, modern alternative pop","R&B, Pop",84,35,14,0,96,30,0,-8,Happy
Gives You Hell,The All-American Rejects,100,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge","Metal, Rock, Folk/Acoustic, Pop",72,69,2,0,55,0,0,-6,Happy
Pasilyo,SunKissed Lola,120,"opm, pinoy indie rock","Pop, Rock",71,61,42,0,40,0,10,-5,Happy
San Francisco Street,Sun Rai,111,,,88,54,22,13,51,0,0,-9,Happy
Bad example,takayan,120,men chika,,77,66,42,0,81,0,20,-6,Happy
comethru,Jeremy Zucker,94,"alt z, electropop, pop",Pop,80,18,61,0,61,0,60,-12,Happy
Lucky,"Jason Mraz,Colbie Caillat",130,"acoustic pop, dance pop, neo mellow, pop","Pop, Folk/Acoustic",63,41,29,0,67,0,10,-9,Happy
Drops of Jupiter (Tell Me),Train,79,"dance pop, neo mellow, pop, pop rock","Pop, Folk/Acoustic, Rock",48,64,15,0,50,0,10,-6,Happy
Hey There Delilah,Plain White T's,104,"modern rock, neo mellow, neon pop punk, pop punk, pop rock","Rock, Folk/Acoustic, Pop",66,29,87,0,30,0,10,-11,Happy
Dancing in the Moonlight,Toploader,119,british alternative rock,Rock,64,85,5,0,87,0,30,-3,Happy
Fresh Eyes,Andy Grammer,122,"neo mellow, post-teen pop, viral pop","Folk/Acoustic, Pop",83,56,55,0,87,0,10,-7,Happy
I'm Yours,Jason Mraz,151,"acoustic pop, dance pop, neo mellow, pop","Pop, Folk/Acoustic",70,44,56,0,71,0,10,-9,Happy
Fireflies,Owl City,180,"indietronica, pop",Pop,51,66,3,0,47,0,10,-7,Happy
"Hey, Soul Sister",Train,97,"dance pop, neo mellow, pop, pop rock","Pop, Folk/Acoustic, Rock",67,89,19,0,80,0,0,-4,Happy
Bubbly,Colbie Caillat,128,"dance pop, neo mellow, pop","Pop, Folk/Acoustic",69,48,59,0,26,0,10,-7,Happy
New Light,John Mayer,124,"neo mellow, singer-songwriter",Folk/Acoustic,83,69,32,3,85,0,0,-8,Happy
Take on Me,a-ha,84,"new romantic, new wave, new wave pop, permanent wave, synthpop","Rock, Pop",57,90,2,0,88,0,0,-8,Happy
Escape (The Pina Colada Song),Rupert Holmes,139,yacht rock,Rock,84,51,47,0,95,0,0,-14,Happy
Video Killed The Radio Star,The Buggles,131,"early synthpop, new wave pop, zolo","Pop, Rock",68,68,10,1,25,0,20,-12,Happy
Accidentally In Love,Counting Crows,138,"neo mellow, pop rock, post-grunge, rock","Folk/Acoustic, Rock, Metal",55,93,5,0,82,0,0,-4,Happy
Break My Stride,Matthew Wilder,110,new wave pop,Pop,92,59,20,0,83,0,0,-11,Happy
1612,Vulfpeck,171,"ann arbor indie, funk rock, instrumental funk","Folk/Acoustic, Rock, R&B",68,39,18,0,71,20,0,-11,Happy
Honey,Johnny Balik,140,"chattanooga indie, pop soul","Folk/Acoustic, R&B",76,47,63,0,62,40,10,-8,Happy
Would You Be So Kind,dodie,160,"alt z, indie pop, pov: indie",Pop,66,62,16,0,61,20,10,-10,Happy
Crush,Tessa Violet,136,"alt z, indie pop, pov: indie",Pop,91,40,3,0,83,0,0,-10,Happy
Sarashi-mono (feat. PUNPEE),"Gen Hoshino,PUNPEE",154,"j-acoustic, j-pop, japanese singer-songwriter, j-rap, japanese r&b","Pop, Hip Hop, R&B",82,59,5,0,61,20,0,-6,Sad
Edo,iwamizu,85,japanese jazz fusion,Jazz,64,69,75,75,60,0,10,-6,Sad
Fathom,iwamizu,90,japanese jazz fusion,Jazz,71,43,69,89,20,0,20,-15,Sad
Would That I,Hozier,131,"irish singer-songwriter, modern rock, pov: indie","Folk/Acoustic, Rock, Pop",52,53,24,1,50,0,10,-6,Sad
Girls Like Me,Will Joseph Cook,122,"kent indie, modern alternative pop","Rock, Pop",76,72,7,0,96,0,10,-6,Sad
Numb Little Bug,Em Beihold,85,"alt z, gen z singer-songwriter",Pop,74,53,33,0,64,0,20,-7,Sad
Make Your Own Kind Of Music,Cass Elliot,121,,,53,56,61,0,70,0,20,-13,Sad
rises the moon,Liana Flores,137,pov: indie,Pop,48,13,95,14,20,0,10,-20,Sad
Boys Will Be Bugs,Cavetown,179,"bedroom pop, indie pop, pov: indie",Pop,49,53,0,0,45,0,10,-12,Sad
My Happy Ending,Avril Lavigne,170,"canadian pop, candy pop, dance pop, pop",Pop,41,94,0,0,74,0,30,-2,Sad
Bad Day,Daniel Powter,140,"canadian pop, neo mellow, pop rock","Pop, Folk/Acoustic, Rock",60,79,45,0,52,0,10,-4,Sad
Make You Mine,PUBLIC,103,indie rockism,Rock,61,80,1,0,64,0,10,-4,Sad
A Thousand Miles,Vanessa Carlton,95,"lilith, neo mellow, piano rock, pop rock, post-teen pop","Folk/Acoustic, Rock, Pop",56,83,32,0,27,0,10,-4,Sad
Line Without a Hook,Ricky Montgomery,190,"la indie, pop, pov: indie",Pop,43,65,26,0,51,0,20,-5,Sad
Breakeven,The Script,94,"celtic rock, pop","Rock, Pop",63,70,14,0,49,0,0,-5,Sad
Lemon Boy,Cavetown,140,"bedroom pop, indie pop, pov: indie",Pop,51,48,19,0,32,0,0,-10,Sad
Mr. Loverman,Ricky Montgomery,130,"la indie, pop, pov: indie",Pop,64,53,25,0,49,0,20,-7,Sad
She Will Be Loved,Maroon 5,102,pop,Pop,71,71,6,0,54,0,10,-6,Sad
Bruno is Orange,"Hop Along, Queen Ansleis,Frances Quinlan",161,bubblegrunge,Rock,55,40,69,0,42,40,30,-10,Sad
This Is Home,Cavetown,130,"bedroom pop, indie pop, pov: indie",Pop,81,27,56,0,21,0,10,-12,Sad
prom dress,mxmtoon,120,"alt z, bedroom pop, indie pop, pov: indie",Pop,56,67,70,0,42,0,10,-6,Sad
Passing Through (Can't the Future Just Wait),Kaden MacKay,86,"pixel, pov: indie",Pop,54,15,91,0,67,10,20,-17,Sad
Dream Sweet in Sea Major,Miracle Musical,170,pov: indie,Pop,34,43,92,7,19,0,10,-11,Sad
Everything Stays (feat. Olivia Olson),"Adventure Time,Olivia Olson",85,"pov: indie,",Pop,48,10,94,0,35,0,10,-18,Sad
Cecily Smith (Bonus Track),Will Connolly,120,show tunes,Easy listening,77,26,82,0,37,0,0,-13,Sad
Another One of Those Days,Cavetown,135,"bedroom pop, indie pop, pov: indie",Pop,60,55,45,0,38,0,0,-9,Sad
Talk to Me,Cavetown,130,"bedroom pop, indie pop, pov: indie",Pop,63,32,67,0,23,0,0,-10,Sad
feelings are fatal,mxmtoon,96,"alt z, bedroom pop, indie pop, pov: indie",Pop,55,17,91,0,49,10,0,-16,Sad
Hello My Old Heart,The Oh Hellos,90,"folk-pop, pov: indie, san marcos tx indie, stomp and holler","Pop, Country, Folk/Acoustic",56,30,62,3,30,0,0,-11,Sad
"When She Loved Me - From ""Toy Story 2"" / Soundtrack Version",Sarah McLachlan,67,"canadian pop, canadian singer-songwriter, ectofolk, lilith, permanent wave, pop rock","Pop, Folk/Acoustic, Rock",39,18,98,0,24,0,0,-12,Sad
