#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
1,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,84,119,"dance pop, pop",Pop,71,82,21,0,87,0,0,-9 db,Happy
2,Footloose,Kenny Loggins,73,174,"album rock, classic rock, heartland rock, mellow gold, new wave pop, singer-songwriter, soft rock, yacht rock","Rock, Pop, Folk/Acoustic",55,90,8,0,49,0,0,-7 db,Happy
3,Dancing Queen,ABBA,86,101,"europop, swedish pop",Pop,54,87,36,0,75,0,70,-7 db,Happy
4,Crazy Little Thing Called Love - Remastered 2011,Queen,83,77,"classic rock, glam rock, rock",Rock,60,76,71,0,71,0,30,-7 db,Happy
5,I'm A Believer,Smash Mouth,68,82,"pop rock, post-grunge","Rock, Metal",55,98,2,0,87,0,40,-4 db,Happy
6,Come and Get Your Love - Single Version,Redbone,78,107,"native american contemporary, native american traditional",World/Traditional,73,80,17,0,96,0,0,-8 db,Happy
7,I Melt with You,Modern English,54,156,"new romantic, new wave, new wave pop, synthpop","Rock, Pop",54,80,0,0,67,0,0,-12 db,Happy
8,Next To You (feat. Justin Bieber),"Chris Brown,Justin Bieber",72,115,"r&b, rap, canadian pop, pop","Pop, R&B, Hip Hop",67,68,2,0,35,0,10,-5 db,Happy
9,Mamma Mia,ABBA,80,138,"europop, swedish pop",Pop,75,75,30,0,83,0,40,-7 db,Happy
10,Hooked On A Feeling,"Blue Swede,Björn Skifs",72,118,classic swedish pop,Pop,55,82,26,0,93,0,30,-7 db,Happy
11,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley,Jennifer Warnes",68,109,"soft rock,",Rock,70,67,4,1,49,0,0,-13 db,Happy
12,Waterloo,ABBA,76,148,"europop, swedish pop",Pop,45,95,40,0,65,0,0,-5 db,Happy
13,I'm Coming Out,Diana Ross,71,110,"adult standards, disco, motown, quiet storm, soft rock, soul","Easy listening, R&B, Rock",72,83,19,43,77,0,0,-9 db,Happy
14,Fantasy,Mariah Carey,79,102,"dance pop, pop, urban contemporary","Pop, Hip Hop",67,73,14,0,81,0,10,-8 db,Happy
