#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
1,The Most Beautiful Thing,Bruno Major,68,127,singer-songwriter pop,Pop,81,36,54,5,42,0,10,-10 db,Happy
2,Sunflower,Rex Orange County,74,130,bedroom pop,Pop,55,77,65,0,57,0,50,-4 db,Happy
3,Me & You ◑,"HONNE,Tom Misch",57,120,"uk pop, indie soul, jazz pop","R&B, Pop",77,55,65,0,60,0,0,-8 db,Happy
4,Dive,Ed Sheeran,74,135,"pop, singer-songwriter pop, uk pop",Pop,76,39,36,0,53,0,10,-6 db,Happy
5,THE SHADE,Rex Orange County,77,120,bedroom pop,Pop,90,51,39,0,73,0,0,-8 db,Happy
6,Always,Daniel Caesar,82,136,canadian contemporary r&b,R&B,60,44,69,0,17,0,10,-8 db,Happy
7,Next To You (feat. Justin Bieber),"Chris Brown,Justin Bieber",72,115,"r&b, rap, canadian pop, pop","Pop, R&B, Hip Hop",67,68,2,0,35,0,10,-5 db,Happy
8,SOLO,JENNIE,52,95,k-pop,Pop,85,55,6,0,52,10,10,-7 db,Happy
9,Ditto,NewJeans,82,134,"k-pop, k-pop girl group",Pop,81,64,3,0,18,10,10,-6 db,Happy
10,OMG,NewJeans,83,127,"k-pop, k-pop girl group",Pop,80,77,36,0,74,0,10,-4 db,Happy
11,Hype Boy,NewJeans,81,100,"k-pop, k-pop girl group",Pop,59,94,27,0,78,20,20,-3 db,Happy
12,Cookie (FRNK Remix),NewJeans,55,80,"k-pop, k-pop girl group",Pop,83,47,55,0,78,0,10,-7 db,Happy
13,Attention,NewJeans,78,105,"k-pop, k-pop girl group",Pop,81,65,24,0,70,0,0,-4 db,Happy
14,BOOMBAYAH,BLACKPINK,74,125,"k-pop, k-pop girl group, pop",Pop,66,84,0,0,40,0,50,-3 db,Happy
15,Super Shy,NewJeans,85,150,"k-pop, k-pop girl group",Pop,78,82,18,0,52,0,10,-6 db,Happy
16,Bad Habits,Ed Sheeran,82,126,"pop, singer-songwriter pop, uk pop",Pop,81,89,5,0,54,0,30,-4 db,Happy
17,Galway Girl,Ed Sheeran,80,100,"pop, singer-songwriter pop, uk pop",Pop,62,88,7,0,78,10,30,-3 db,Happy
18,POP!,NAYEON,76,97,k-pop,Pop,80,86,4,0,36,0,0,-3 db,Happy
19,I Like Me Better,Lauv,82,92,pop,Pop,75,51,53,0,42,20,10,-8 db,Happy
20,San Francisco Street,Sun Rai,58,111,,,88,54,22,13,51,0,0,-9 db,Happy
21,Nonsense,Sabrina Carpenter,88,139,pop,Pop,74,70,3,0,73,0,20,-5 db,Happy
22,Titig,"MC Einstein,Flow G,Jekkpot,Yuridope",67,79,"pinoy hip hop, tagalog rap, pinoy r&b","Hip Hop, R&B",80,45,15,0,65,20,0,-8 db,Happy
23,Lemonade,"Jeremy Passion,Melissa Polinar,Gabe Bondoc",57,122,"chill r&b, pop soul",R&B,52,20,73,0,56,0,10,-12 db,Happy
24,Nothing,Jeremy Passion,52,80,"chill r&b, pop soul",R&B,59,24,56,0,26,0,10,-12 db,Happy
25,That's What I Like,Bruno Mars,88,134,"dance pop, pop",Pop,85,56,1,0,86,0,0,-5 db,Happy
26,24K Magic,Bruno Mars,81,107,"dance pop, pop",Pop,82,80,3,0,63,0,10,-4 db,Happy
27,Chunky,Bruno Mars,70,202,"dance pop, pop",Pop,57,54,2,0,73,10,10,-4 db,Happy
28,Finesse - Remix; feat. Cardi B,"Bruno Mars,Cardi B",76,105,"dance pop, pop, rap","Pop, Hip Hop",70,86,2,0,93,10,0,-5 db,Happy
29,Panalangin,APO Hiking Society,65,114,"classic opm, opm","World/Traditional, Pop",64,60,18,0,62,0,0,-7 db,Happy
30,Beautiful Soul,Jesse McCartney,72,90,"dance pop, pop, post-teen pop",Pop,66,67,8,0,93,0,0,-4 db,Happy
31,KEEP IT UP,Rex Orange County,57,150,bedroom pop,Pop,71,48,29,0,73,0,20,-7 db,Happy
32,AMAZING,Rex Orange County,71,124,bedroom pop,Pop,72,46,28,0,55,0,0,-8 db,Happy
33,Loving Is Easy,"Rex Orange County,Benny Sings",72,117,"bedroom pop, dutch pop, indie soul","Pop, R&B",76,61,22,0,54,0,10,-8 db,Happy
34,Say You Won't Let Go,James Arthur,88,85,"pop, talent show, uk pop",Pop,36,56,70,0,49,0,0,-7 db,Happy
35,Mirrors,Justin Timberlake,83,77,"dance pop, pop",Pop,57,51,23,0,51,0,0,-7 db,Happy
36,Okinawa,92914,57,148,"chill pop, korean indie folk","Pop, Folk/Acoustic",74,17,93,17,38,0,60,-18 db,Happy
37,Para Sa Akin,Sitti,58,126,,,58,41,92,0,47,0,10,-11 db,Happy
38,Ligaya,Eraserheads,61,126,"opm, pinoy reggae",Pop,55,72,40,0,68,0,10,-8 db,Happy
1,vampire,Olivia Rodrigo,92,138,pop,Pop,51,53,18,0,35,0,20,-6 db,Sad
2,"1 step forward, 3 steps back",Olivia Rodrigo,80,169,pop,Pop,47,20,94,0,42,10,10,-13 db,Sad
3,deja vu,Olivia Rodrigo,87,181,pop,Pop,44,61,58,0,18,10,30,-7 db,Sad
4,drivers license,Olivia Rodrigo,87,144,pop,Pop,56,43,77,0,14,0,10,-9 db,Sad
5,All I Want,"Olivia Rodrigo,Disney",74,78,"pop, movie tunes","Easy listening, Pop",38,43,9,0,13,0,0,-7 db,Sad
6,happier,Olivia Rodrigo,85,169,pop,Pop,40,44,77,0,34,10,0,-10 db,Sad
7,favorite crime,Olivia Rodrigo,85,173,pop,Pop,37,27,87,0,22,0,10,-10 db,Sad
8,Before It Sinks In,Moira Dela Torre,64,140,opm,Pop,54,39,60,0,20,0,0,-8 db,Sad
9,Sana,I Belong to the Zoo,60,129,opm,Pop,60,50,8,0,17,0,10,-7 db,Sad
10,It Will Rain,Bruno Mars,82,150,"dance pop, pop",Pop,58,84,34,0,48,0,0,-7 db,Sad
