#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
1,Mixed Nuts,OFFICIAL HIGE DANDISM,63,150,"anime, anime rock, j-pop","Pop, Rock",54,92,1,0,78,0,20,-5 db,Happy
2,"So Alright, Cool, Whatever",The Happy Fits,59,130,"modern folk rock, new jersey indie, pov: indie","Rock, Pop",69,64,10,0,76,0,0,-5 db,Happy
3,CHRONICALLY CAUTIOUS,Braden Bales,57,140,singer-songwriter pop,Pop,70,58,26,0,87,10,10,-4 db,Happy
4,Against the Kitchen Floor,Will Wood,58,120,"pov: indie, weirdcore",Pop,65,78,42,0,61,0,10,-4 db,Happy
5,From the Start,Good Kid,75,93,,,57,80,2,0,64,0,0,-4 db,Happy
6,Tell Me You Know,Good Kid,56,96,,,58,92,0,0,88,0,10,-3 db,Happy
7,Why Not Me,"Forrest.,Biskwiq",52,146,lo-fi rap,Hip Hop,91,72,48,0,70,30,50,-7 db,Happy
8,Teenage Dirtbag,Wheatus,50,95,pop rock,Rock,62,85,34,0,61,0,10,-4 db,Happy
9,Fell In Love With a Girl,The White Stripes,73,96,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock","Rock, Blues",36,98,71,0,30,10,90,-2 db,Happy
10,Cherry Wine,grentperez,72,105,bedroom r&b,R&B,74,56,34,0,58,0,0,-7 db,Happy
11,Loretta,Ginger Root,61,130,"hypnagogic pop, oc indie","Pop, R&B",71,80,28,59,89,0,10,-6 db,Happy
12,Grandpop's Uke,"Forrest.,Biskwiq",44,130,lo-fi rap,Hip Hop,92,64,28,0,60,40,30,-5 db,Happy
13,Your Soul,"Forrest.,Biskwiq",53,140,lo-fi rap,Hip Hop,85,85,2,0,82,30,10,-4 db,Happy
14,Mr. Brightside,The Killers,87,148,"alternative rock, dance rock, modern rock, permanent wave, rock",Rock,35,91,0,0,24,0,10,-5 db,Happy
15,All The Small Things,blink-182,84,149,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk","Metal, Rock, Pop",43,90,1,0,68,0,60,-5 db,Happy
16,Sk8er Boi,Avril Lavigne,78,150,"canadian pop, candy pop, dance pop, pop",Pop,49,90,0,0,48,0,30,-4 db,Happy
